cest;descricao
01.051.00;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
01.052.00;Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos
01.053.00;Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão
01.054.00;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"
01.055.00;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
01.056.00;Telefones móveis do tipo dos utilizados em veículos automóveis.
01.057.00;Alto-falantes, amplificadores elétricos de audiofrequência e partes
01.058.00;Aparelhos elétricos de amplificação de som para veículos automotores
01.059.00;Aparelhos de reprodução de som
01.060.00;Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)
01.061.00;Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis
01.062.00;Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis
01.062.01;Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores
01.063.00;Antenas
01.064.00;Circuitos impressos
01.065.00;Interruptores e seccionadores e comutadores
01.066.00;Fusíveis e corta-circuitos de fusíveis
01.067.00;Disjuntores
01.068.00;Relés
01.069.00;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
01.070.00;Faróis e projetores, em unidades seladas
01.071.00;Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos
01.072.00;Cabos coaxiais e outros condutores elétricos coaxiais
01.073.00;Jogos de fios para velas de ignição e outros jogos de fios
01.074.00;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas
01.075.00;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
01.076.00;Parte e acessórios de motocicletas (incluídos os ciclomotores)
01.077.00;Engates para reboques e semirreboques
01.078.00;"Medidores de nível; Medidores de vazão"
01.079.00;Aparelhos para medida ou controle da pressão
01.080.00;Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios
01.081.00;Amperímetros
01.082.00;Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)
01.083.00;Controladores eletrônicos
01.084.00;Relógios para painéis de instrumentos e relógios semelhantes
01.085.00;Assentos e partes de assentos
01.086.00;Acendedores
01.087.00;Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios
01.088.00;Juntas de vedação de cortiça natural e de amianto
01.089.00;Papel-diagrama para tacógrafo, em disco
01.090.00;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
01.091.00;Cilindros pneumáticos
01.092.00;Bomba elétrica de lavador de para-brisa
01.093.00;Bomba de assistência de direção hidráulica
01.094.00;Motoventiladores
01.095.00;Filtros de pólen do ar-condicionado
01.096.00;'Máquina' de vidro elétrico de porta
01.097.00;Motor de limpador de para-brisa
01.098.00;Bobinas de reatância e de autoindução
01.099.00;Baterias de chumbo e de níquel-cádmio
01.100.00;Aparelhos de sinalização acústica (buzina)
01.101.00;Instrumentos para regulação de grandezas não elétricas
01.102.00;Analisadores de gases ou de fumaça (sonda lambda)
01.103.00;Perfilados de borracha vulcanizada não endurecida
01.104.00;Artefatos de pasta de fibra de uso automotivo
01.105.00;Tapetes/carpetes - nailón
01.106.00;Tapetes de matérias têxteis sintéticas
01.107.00;Forração interior capacete
01.108.00;Outros para-brisas
01.109.00;Moldura com espelho
01.110.00;Corrente de transmissão
01.111.00;Corrente transmissão
01.112.00;Outras correntes de transmissão
01.113.00;Condensador tubular metálico
01.114.00;Trocadores de calor
01.115.00;Partes de aparelhos mecânicos de pulverizar ou dispersar
01.116.00;Macacos manuais para veículos
01.117.00;Caçambas, pás, ganchos e tenazes para máquinas rodoviárias
01.118.00;Geradores de corrente alternada de potência não superior a 75 kva
01.119.00;Aparelhos elétricos para alarme de uso automotivo
01.120.00;Bússolas
01.121.00;Indicadores de temperatura
01.122.00;Partes de indicadores de temperatura
01.123.00;Partes de aparelhos de medida ou controle
01.124.00;Termostatos
01.125.00;Instrumentos e aparelhos para regulação
01.126.00;Pressostatos
01.127.00;Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00
01.128.00;Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis
01.999.00;Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo
02.001.00;Aperitivos, amargos, bitter e similares
02.002.00;Batida e similares
02.003.00;Bebida ice
02.004.00;Cachaça e aguardentes
02.005.00;Catuaba e similares
02.006.00;Conhaque, brandy e similares
02.007.00;Cooler
02.008.00;Gim (gin) e genebra
02.009.00;Jurubeba e similares
02.010.00;Licores e similares
02.011.00;Pisco
02.012.00;Rum
02.013.00;Saquê
02.014.00;Steinhaeger
02.015.00;Tequila
02.016.00;Uísque
02.017.00;Vermute e similares
02.018.00;Vodka
02.019.00;Derivados de vodka
02.020.00;Arak
02.021.00;Aguardente vínica / grappa
02.022.00;Sidra e similares
02.023.00;Sangrias e coquetéis
02.024.00;"Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas."
02.999.00;Outras bebidas alcoólicas não especificadas nos itens anteriores
03.001.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml
03.002.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml
03.003.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml
03.004.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml
03.005.00;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml
03.006.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas
03.007.00;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
03.008.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente
03.010.00;Refrigerante em garrafa com capacidade igual ou superior a 600 ml
03.011.00;Demais refrigerantes
03.012.00;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina 'pré-mix' ou 'post-mix'
03.013.00;Bebidas energéticas em embalagem com capacidade inferior a 600ml
03.014.00;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
03.015.00;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
03.016.00;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
03.021.00;Cerveja
03.022.00;Cerveja sem álcool
03.023.00;Chope
04.001.00;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos
04.002.00;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção
05.001.00;Cimento
06.001.00;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)
06.001.01;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)
06.002.00;Gasolina automotiva A, exceto Premium
06.002.01;Gasolina automotiva C, exceto Premium
06.002.02;Gasolina automotiva A Premium
06.002.03;Gasolina automotiva C Premium
06.003.00;Gasolina de aviação
06.004.00;Querosenes, exceto de aviação
06.005.00;Querosene de aviação
06.006.00;Óleo diesel A, exceto S10 e Marítimo
06.006.01;Óleo diesel B, exceto S10 (mistura obrigatória)
06.006.02;Óleo diesel B, exceto S10 (misturas autorizativas)
06.006.03;Óleo diesel B, exceto S10 (misturas experimentais)
06.006.04;Óleo diesel A S10
06.006.05;Óleo diesel B S10 (mistura obrigatória)
06.006.06;Óleo diesel B S10 (misturas autorizativas)
06.006.07;Óleo diesel B S10 (misturas experimentais)
06.006.08;Óleo Diesel Marítimo
06.006.09;Outros óleos combustíveis
06.006.10;Óleo combustível derivado de xisto
06.006.11;Óleo combustível pesado
06.007.00;Óleos lubrificantes
06.008.00;Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de inerais betuminosos, exceto os que contenham biodiesel e exceto os resíduos de óleos
06.009.00;Resíduos de óleos
06.010.00;Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto.
06.011.00;Gás liquefeito de petróleo em botijão de 13 Kg (GLP)
06.011.01;Gás liquefeito de petróleo (GLP), exceto em botijão de 13 Kg
06.011.02;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNn)
06.011.03;Gás liquefeito de petróleo (GLGNn), exceto em botijão de 13 Kg
06.011.04;Gás liquefeito de petróleo em botijão de 13 Kg (GLGNi)
06.011.05;Gás liquefeito de petróleo (GLGNi), exceto em botijão de 13 Kg
06.011.06;Gás liquefeito de petróleo em botijão de 13 kg (Misturas)
06.011.07;Gás liquefeito de petróleo (Misturas), exceto em botijão de 13 Kg
06.012.00;Gás Natural Liquefeito
06.013.00;Gás Natural Gasoso
06.014.00;Gás de xisto
06.015.00;Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos
06.016.00;Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos
06.017.00;Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos
06.018.00;Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos
07.001.00;Energia elétrica
08.001.00;Ferramentas de borracha vulcanizada não endurecida
08.002.00;Ferramentas, armações e cabos de ferramentas, de madeira
08.003.00;"Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias"
08.004.00;"Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura"
08.005.00;Folhas de serras de fita
08.006.00;Lâminas de serras máquinas
08.007.00;Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00
08.008.00;Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90
08.009.00;"Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos"
08.010.00;"Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal"
08.011.00;Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho
08.012.00;"Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"
08.013.00;Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00
08.014.00;Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos
08.015.00;Plaquetas ou pastilhas intercambiáveis
08.016.00;Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, não montados, de ceramais ('cermets'), exceto as classificadas no CEST 08.015.00
08.017.00;Facas de lâmina cortante ou serrilhada, incluídas as podadeiras de lâmina móvel, e suas lâminas, exceto as de uso doméstico
08.018.00;Tesouras e suas lâminas
08.019.00;Ferramentas pneumáticas, hidráulicas ou com motor (elétrico ou não elétrico) incorporado, de uso manual, exceto o descrito no CEST 08.019.01
08.019.01;Moto-serras portáteis de corrente, com motor incorporado, não elétrico, de uso agrícola
08.020.00;"Instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geofísica, exceto bussolas; telêmetros"
08.021.00;"Instrumentos de desenho, de traçado ou de cálculo; metros, micrômetros, paquímetros, calibres e semelhantes; partes e acessórios"
08.022.00;Termômetros, suas partes e acessórios
08.023.00;Pirômetros, suas partes e acessórios
09.001.00;Lâmpadas elétricas
09.002.00;Lâmpadas eletrônicas
09.003.00;Reatores para lâmpadas ou tubos de descargas
09.004.00;'Starter'
09.005.00;Lâmpadas de LED (Diodos Emissores de Luz)
10.001.00;Cal
10.002.00;Argamassas
10.003.00;Outras argamassas
10.004.00;Silicones em formas primárias, para uso na construção
10.005.00;"Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção"
10.006.00;Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção
10.007.00;Revestimento de pavimento de PVC e outros plásticos
10.008.00;Chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção
10.009.00;Veda rosca, lona plástica para uso na construção, fitas isolantes e afins
10.010.00;Telha de plástico, mesmo reforçada com fibra de vidro
10.011.00;Cumeeira de plástico, mesmo reforçada com fibra de vidro
10.012.00;Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos no CEST 10.010.00 e 10.011.00
10.013.00;Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos
10.014.00;Artefatos de higiene/toucador de plástico, para uso na construção
10.015.00;Caixa d'água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
10.016.00;Outras telhas, cumeeira e caixa d'água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro
10.017.00;Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 10.015.00 e 10.016.00
10.018.00;Portas, janelas e seus caixilhos, alizares e soleiras
10.019.00;Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes
10.020.00;Outras obras de plástico, para uso na construção
10.021.00;"Papel de parede e revestimentos de parede semelhantes; papel para vitrais"
10.022.00;Telhas de concreto
10.023.00;Telha, cumeeira e caixa d'água, inclusive sua tampa, de fibrocimento, cimento-celulose
10.024.00;Caixas d'água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto, exceto os descritos no item 23.0
10.025.00;Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis ('kieselghur', tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes
10.026.00;Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para uso na construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes
10.027.00;Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica
10.028.00;Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para uso na construção
10.029.00;Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica
10.030.00;Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimento
10.030.01;Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte.
10.031.00;Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica
10.032.00;Artefatos de higiene/toucador de cerâmica
10.033.00;Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.034.00;Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.035.00;Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho
10.036.00;Vidros temperados
10.037.00;Vidros laminados
10.038.00;Vidros isolantes de paredes múltiplas
10.039.00;"Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na construção; cubos, pastilhas e outros artigos semelhantes"
10.040.00;Barras próprias para construções, exceto vergalhões
10.041.00;Outras barras próprias para construções, exceto vergalhões
10.042.00;Vergalhões
10.043.00;Outros vergalhões
10.044.00;"Fios de ferro ou aço não ligados, não revestidos, mesmo polidos; cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos"
10.045.00;Outros fios de ferro ou aço, não ligados, galvanizados com teor de carbono superior ou igual a 0,6%, em peso
10.045.01;Outros fios de ferro ou aço, não ligados, galvanizados
10.046.00;Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço
10.047.00;Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço
10.048.00;Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço
10.049.00;Treliças de aço
10.050.00;Telhas metálicas
10.051.00;"Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção"
10.052.00;Arame farpado, de ferro ou aço, arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas
10.053.00;Telas metálicas, grades e redes, de fios de ferro ou aço
10.054.00;Correntes de rolos, de ferro fundido, ferro ou aço
10.055.00;Outras correntes de elos articulados, de ferro fundido, ferro ou aço
10.056.00;Correntes de elos soldados, de ferro fundido, de ferro ou aço
10.057.00;Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre
10.058.00;Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão) e artefatos semelhantes, de ferro fundido, ferro ou aço
10.059.00;Palha de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00
10.059.01;Esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00
10.060.00;Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção
10.061.00;Outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção
10.062.00;Abraçadeiras
10.063.00;Barras de cobre
10.064.00;Tubos de cobre e suas ligas, para instalações de água quente e gás, para uso na construção
10.065.00;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção
10.066.00;Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre
10.067.00;Artefatos de higiene/toucador de cobre, para uso na construção
10.068.00;Manta de subcobertura aluminizada
10.069.00;Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, para uso na construção
10.070.00;Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção
10.071.00;"Construções e suas partes (por exemplo, pontes e elementos de pontes, torres, pórticos ou pilones, pilares, colunas, armações, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alumínio, exceto as construções pré-fabricadas da posição 9406; chapas, barras, perfis, tubos e semelhantes, de alumínio, próprios para construções"
10.072.00;Artefatos de higiene/toucador de alumínio, para uso na construção
10.073.00;Outras obras de alumínio, próprias para construções, incluídas as persianas
10.074.00;Outras guarnições, ferragens e artigos semelhantes de metais comuns, para construções, inclusive puxadores.
10.075.00;"Fechaduras e ferrolhos (de chave, de segredo ou elétricos), de metais comuns, incluídas as suas partes fechos e armações com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns; exceto os de uso automotivo"
10.076.00;Dobradiças de metais comuns, de qualquer tipo
10.077.00;Tubos flexíveis de metais comuns, mesmo com acessórios, para uso na construção
10.078.00;Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos metálicos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou depósito de metal ou de carbonetos metálicos fios e varetas de pós de metais comuns aglomerados, para metalização por projeção
10.079.00;Torneiras, válvulas (incluídas as redutoras de pressão e as termostáticas) e dispositivos semelhantes, para canalizações, caldeiras, reservatórios, cubas e outros recipientes
10.080.00;Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo
11.001.00;Água sanitária, branqueador e outros alvejantes
11.002.00;Sabões em pó, flocos, palhetas, grânulos ou outras formas semelhantes, para lavar roupas
11.003.00;Sabões líquidos para lavar roupas
11.004.00;Detergentes em pó, flocos, palhetas, grânulos ou outras formas semelhantes
11.005.00;Detergentes líquidos, exceto para lavar roupa
11.006.00;Detergente líquido para lavar roupa
11.007.00;"Outros agentes orgânicos de superfície (exceto sabões); preparações tensoativas, preparações para lavagem (incluídas as preparações auxiliares para lavagem) e preparações para limpeza (inclusive multiuso e limpadores), mesmo contendo sabão, exceto os produtos descritos nos CEST 11.001.00, 11.004.00, 11.005.00 e 11.006.00; em embalagem de conteúdo inferior ou igual a 50 litros ou 50 kg"
11.008.00;Amaciante/suavizante
11.009.00;Esponjas para limpeza
11.010.00;Álcool etílico para limpeza
11.011.00;"Esponjas e palhas de aço; esponjas para limpeza, polimento ou uso semelhantes; todas de uso doméstico"
11.012.00;Sacos de lixo de conteúdo igual ou inferior a 100 litros
12.001.00;"Transformadores, bobinas de reatância e de auto indução, inclusive os transformadores de potência superior a 16 KVA, classificados nas posições 8504.33.00 e 8504.34.00; exceto os demais transformadores da subposição 8504.3, os reatores para lâmpadas elétricas de descarga classificados no código 8504.10.00, os carregadores de acumuladores do código 8504.40.10, os equipamentos de alimentação ininterrupta de energia (UPS ou 'no break'), no código 8504.40.40 e os de uso automotivo"
